Software Version;2.06.10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Experiment File Path:;C:\Users\Public\Documents\Experiments\qbio project lab1 20220204.xpt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Protocol File Path:;C:\Users\Synthetic Bio Team\Documents\Experiments\cell-free-cytation-37.prt;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plate Number;Plate 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Date;02/04/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time;16:53:08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reader Type:;Cytation3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reader Serial Number:;14102110;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Reading Type;Reader;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Procedure Details;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Plate Type;Corning 384 well black clear bottom;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Well Selection;Runtime;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Set Temperature;Setpoint 37°C;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Preheat before moving to next step;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Start Kinetic;Runtime 8:00:00 (HH:MM:SS), Interval 0:05:00, 97 Reads;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Read;Fluorescence Endpoint;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Full Plate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Filter Set 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;    Excitation: 485,  Emission: 528;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;    Optics: Bottom,  Gain: 100;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Filter Set 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;    Excitation: 485,  Emission: 528;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;    Optics: Bottom,  Gain: 75;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Light Source: Xenon Flash,  Lamp Energy: High;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Read Height: 7 mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
    Read;Fluorescence Endpoint;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Full Plate;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Filter Set 1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;    Excitation: 485,  Emission: 528;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;    Optics: Bottom,  Gain: 70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Filter Set 2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;    Excitation: 485,  Emission: 528;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;    Optics: Bottom,  Gain: 50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Light Source: Xenon Flash,  Lamp Energy: High;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Read Height: 9,5 mm;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
End Kinetic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Set Temperature;Incubator off;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Layout;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;;;;;;;;;;
;A;;;;;;;;;;;;;;;;;;;;;;;;;Well ID;;;;;;;;;
;B;;;;;;;;;;;;;;;;;;;;;;;;;Well ID;;;;;;;;;
;C;;;;;;;;;;;;;;;;;;;;;;;;;Well ID;;;;;;;;;
;D;;;;;;;;;;;;;;;;;;;;;;;;;Well ID;;;;;;;;;
;E;;;;;;;;;;;;;;;;;;;;;;;;;Well ID;;;;;;;;;
;F;;;;;;;;;;;;;;;;;;;;;;;;;Well ID;;;;;;;;;
;G;;;;;;;;;;;;;;;;;;;;;;;;;Well ID;;;;;;;;;
;H;;;;;;;;;;;;;;;;;;;;;;;;;Well ID;;;;;;;;;
;I;;SPL1;SPL4;SPL7;SPL10;SPL13;SPL16;SPL19;SPL22;SPL25;SPL28;SPL31;;;;;;;;;;;;;Well ID;;;;;;;;;
;J;;SPL2;SPL5;SPL8;SPL11;SPL14;SPL17;SPL20;SPL23;SPL26;SPL29;SPL32;;;;;;;;;;;;;Well ID;;;;;;;;;
;K;;SPL3;SPL6;SPL9;SPL12;SPL15;SPL18;SPL21;SPL24;SPL27;SPL30;SPL33;;;;;;;;;;;;;Well ID;;;;;;;;;
;L;;;;;;;;;;;;;;;;;;;;;;;;;Well ID;;;;;;;;;
;M;;;;;;;;;;;;;;;;;;;;;;;;;Well ID;;;;;;;;;
;N;;;;;;;;;;;;;;;;;;;;;;;;;Well ID;;;;;;;;;
